trait_id,trait_name
PO:0001053,"vascular leaf post-expansion stage"
PO:0001054,"vascular leaf senescent stage"
PO:0001055,"lemma primordia visible stage"
PO:0001056,"lemma differentiation and expansion stage"
PO:0001057,"fully expanded lemma stage"
PO:0001058,"palea primordia visible stage"
PO:0001059,"J bicellular pollen stage"
PO:0001070,"palea differentiation and expansion stage"
PO:0001071,"fully expanded palea stage"
PO:0001072,"lodicule primordia visible stage"
PO:0001074,"N second mitotic division stage in germinating pollen"
PO:0001077,"lodicule differentiation and expansion stage"
PO:0001078,"plant embryo cotyledonary stage"
PO:0001079,"fully expanded lodicule stage"
PO:0001081,"mature plant embryo stage"
PO:0001083,"inflorescence development stage"
PO:0001094,"plant embryo coleoptilar stage"
PO:0001095,"plant embryo true leaf formation stage"
PO:0001096,"primary endosperm cell stage"
PO:0001097,"plant zygote stage"
PO:0001098,"formation of starchy endosperm"
PO:0001099,"formation of aleurone and starchy layers stage"
PO:0001170,"seed development stage"
PO:0001180,"plant proembryo stage"
PO:0001185,"plant embryo globular stage"
PO:0001378,"sepals enclosing meristem stage"
PO:0001380,"sepals enclosing flower bud stage"
PO:0002000,"stomatal complex"
PO:0002001,"papillae"
PO:0002002,"embryo basal cell"
PO:0002003,"xylem vessel member"
PO:0002004,"silk scar"
PO:0003000,"transition zone"
PO:0003003,"obsolete primary root elongation zone"
PO:0003004,"haustorial root"
PO:0003005,"shoot-borne nodal root"
PO:0003011,"root vascular system"
PO:0003014,"obsolete lateral root elongation zone"
PO:0003015,"primary root differentiation zone"
PO:0003016,"lateral root differentiation zone"
PO:0003017,"root cap of primary root"
PO:0003018,"root cap of lateral root"
PO:0003019,"central root cap of lateral root"
PO:0003020,"lateral root cap of lateral root"
PO:0003021,"central root cap of primary root"
PO:0003022,"lateral root cap of primary root"
PO:0003023,"root nodule"
PO:0003024,"stolon"
PO:0004000,"obsolete apical cell"
PO:0004001,"bulliform cell"
PO:0004002,"contact cell"
PO:0004003,"phellem"
PO:0004004,"epithelium cell"
PO:0004005,"laticiferous cell"
PO:0004006,"mesophyll cell"
PO:0004007,"phelloid cell"
PO:0004008,"photosynthetic cell"
PO:0004009,"silica cell"
PO:0004010,"meristematic cell"
PO:0004011,"initial cell"
PO:0004012,"secretory cell"
PO:0004013,"epidermal cell"
PO:0004500,"formation of vascular leaflet primordia stage"
PO:0004501,"gynoecium differentiation and expansion stage"
PO:0004502,"closure of carpel(s) stage"
PO:0004503,"stigma cell differentiation stage"
PO:0004504,"ovule differentiation and expansion stage"
PO:0004505,"fertilized ovule stage"
PO:0004506,"developing seed stage"
PO:0004507,"plant embryo bilateral stage"
PO:0004509,"glandular trichome"
PO:0004511,"seed trichome"
PO:0004512,"heartwood"
PO:0004513,"sapwood"
PO:0004514,"growth ring"
PO:0004515,"early wood"
PO:0004516,"late wood"
PO:0004517,"growth ring boundary"
PO:0004518,"bark"
PO:0004519,"phloem fiber cell"
PO:0004520,"libriform fiber cell"
PO:0004521,"septate fiber cell"
PO:0004522,"outer vascular cambium"
PO:0004523,"included vascular cambium"
PO:0004524,"included phloem"
PO:0004525,"secondary xylem parenchyma cell"
PO:0004526,"axial secondary xylem parenchyma cell"
PO:0004527,"ray secondary xylem parenchyma cell"
PO:0004528,"upright ray secondary xylem parenchyma cell"
PO:0004529,"procumbent ray secondary xylem parenchyma cell"
PO:0004530,"tile cell"
PO:0004531,"sheath cell"
PO:0004532,"secondary xylem parenchyma"
PO:0004533,"axial secondary xylem parenchyma"
PO:0004534,"ray secondary xylem parenchyma"
PO:0004535,"fruit placenta"
PO:0004536,"infructescence fruit pedicel"
PO:0004537,"nucellar plant embryo"
PO:0004538,"indeterminate nodule"
PO:0004539,"determinate nodule"
PO:0004540,"fruit columella"
PO:0004542,"rhizome"
PO:0004543,"shoot axis tuber"
PO:0004544,"root-borne shoot system"
PO:0004545,"shoot-borne shoot system"
PO:0004546,"epicormic shoot system"
PO:0004547,"subterranean shoot axis tuber"
PO:0004548,"aerial tuber"
PO:0004700,"anther wall middle layer"
PO:0004701,"short shoot"
PO:0004702,"long shoot"
PO:0004703,"carpel primordium"
PO:0004704,"sepal primordium"
PO:0004705,"stamen primordium"
PO:0004706,"flower primordium"
PO:0004707,"fruit dehiscence zone"
PO:0004708,"scutellar node"
PO:0004709,"axillary bud"
PO:0004710,"axillary flower bud"
PO:0004711,"axillary inflorescence bud"
PO:0004712,"axillary vegetative bud"
PO:0004713,"terminal bud"
PO:0004714,"terminal flower bud"
PO:0004715,"terminal inflorescence bud"
PO:0004716,"terminal vegetative bud"
PO:0004717,"long cell"
PO:0004718,"short cell"
PO:0004719,"hilum groove"
PO:0004721,"paraclade cortex"
PO:0004722,"pedicel cortex"
PO:0004723,"sepal vascular system"
PO:0004724,"hypocotyl-root junction"
PO:0004725,"vascular leaf primordium abaxial side"
PO:0004726,"vascular leaf primordium adaxial side"
PO:0005001,"basal axillary shoot system"
PO:0005002,"cauline axillary shoot"
PO:0005003,"shoot axis trichome"
PO:0005004,"shoot axis node"
PO:0005005,"shoot axis internode"
PO:0005006,"articulated laticifer"
PO:0005007,"non-articulated laticifer"
PO:0005008,"obsolete fruit septum"
PO:0005009,"carpel septum"
PO:0005010,"anther septum"
PO:0005011,"anther dehiscence zone"
PO:0005012,"pedicel vascular system"
PO:0005013,"hypocotyl epidermis"
PO:0005014,"embryo cortex"
PO:0005015,"embryo endodermis"
PO:0005016,"replum"
PO:0005017,"flower vascular system"
PO:0005018,"stamen vascular system"
PO:0005019,"carpel vascular system"
PO:0005020,"vascular bundle"
PO:0005021,"sepal margin"
PO:0005022,"plant ovary wall"
PO:0005023,"plant ovary outer epidermis"
PO:0005024,"plant ovary inner epidermis"
PO:0005025,"plant ovary wall middle layer"
PO:0005026,"root giant cell"
PO:0005027,"root syncytium cell"
PO:0005028,"inflorescence vascular system"
PO:0005029,"root primordium"
PO:0005030,"lupulin gland"
PO:0005031,"microsporangiate strobilus"
PO:0005032,"megasporangiate strobilus"
PO:0005039,"primary thickening meristem"
PO:0005040,"root pith"
PO:0005041,"shoot axis pith"
PO:0005043,"secondary phloem"
PO:0005046,"periderm"
PO:0005047,"root periderm"
PO:0005048,"shoot axis periderm"
PO:0005050,"phelloderm"
PO:0005051,"hypodermis"
PO:0005052,"plant callus"
PO:0005053,"laticifer"
PO:0005057,"shoot axis hypodermis"
PO:0005058,"shoot axis endodermis"
PO:0005059,"root endodermis"
PO:0005060,"leaf endodermis"
PO:0005349,"schizo-lysigenous aerenchyma"
PO:0005352,"xylem"
PO:0005360,"aleurone layer"
PO:0005415,"endosperm parenchyma"
PO:0005417,"phloem"
PO:0005421,"parenchyma"
PO:0005423,"collenchyma"
PO:0005426,"chlorenchyma"
PO:0005427,"sclerenchyma"
PO:0005597,"cambium"
PO:0005598,"vascular cambium"
PO:0005599,"cork cambium"
PO:0005621,"angular collenchyma"
PO:0005632,"lacunar collenchyma"
PO:0005633,"lamellar collenchyma"
PO:0005645,"leaf mesophyll"
PO:0005647,"spongy mesophyll"
PO:0005648,"palisade mesophyll"
PO:0005656,"portion of secretory tissue"
PO:0005660,"hydathode"
PO:0005661,"salt gland"
PO:0005665,"resin canal"
PO:0005669,"oil gland"
PO:0005679,"epidermis"
PO:0005702,"aerenchyma"
PO:0005704,"rhexigenous aerenchyma"
PO:0005706,"lysigenous aerenchyma"
PO:0005708,"cortex"
PO:0005752,"promeristem"
PO:0005772,"exodermis"
PO:0005848,"secondary xylem"
PO:0005849,"primary xylem"
PO:0006000,"caryopsis hull"
PO:0006001,"phyllome"
PO:0006002,"lower glume"
PO:0006003,"scale leaf"
PO:0006004,"upper glume"
PO:0006005,"carpel anlagen"
PO:0006006,"anther wall primary parietal cell layer"
PO:0006007,"anther wall secondary parietal cell layer"
PO:0006008,"anther wall inner secondary parietal cell layer"
PO:0006009,"anther wall outer secondary parietal cell layer"
PO:0006010,"primary parietal cell"
PO:0006011,"lateral leaf vein"
PO:0006012,"leaf collar"
PO:0006013,"juice sac tissue"
PO:0006014,"male archesporial cell"
PO:0006015,"female archesporial cell"
PO:0006016,"leaf epidermis"
PO:0006017,"helobial endosperm"
PO:0006018,"leaf adaxial epidermis"
PO:0006019,"leaf abaxial epidermis"
PO:0006020,"lateral root apical meristem"
PO:0006021,"shoot-borne root apical meristem"
PO:0006022,"bundle sheath extension"
PO:0006023,"bundle sheath"
PO:0006024,"parenchyma sheath"
PO:0006025,"mestome sheath"
PO:0006032,"lemma awn"
PO:0006033,"palea apiculus"
PO:0006034,"leaflet margin"
PO:0006035,"shoot system epidermis"
PO:0006036,"root epidermis"
PO:0006039,"shoot-borne root epidermis"
PO:0006040,"sepal epidermis"
PO:0006041,"petal epidermis"
PO:0006042,"velamen"
PO:0006043,"integument epidermis"
PO:0006044,"inner integument epidermis"
PO:0006045,"outer integument epidermis"
PO:0006048,"seed coat epidermis"
PO:0006049,"scutellum epidermis"
PO:0006050,"exotesta"
PO:0006051,"endotesta"
PO:0006052,"petal abaxial epidermis"
PO:0006053,"petal adaxial epidermis"
PO:0006054,"sepal abaxial epidermis"
PO:0006055,"sepal adaxial epidermis"
PO:0006056,"cotyledon epidermis"
PO:0006057,"cotyledon abaxial epidermis"
PO:0006058,"cotyledon adaxial epidermis"
PO:0006060,"filament epidermis"
