trait_id,trait_name
PO:0007521,"C3.1 metaxylem differentiation of root."
PO:0007523,"establishment of initial cells"
PO:0007524,"B1 primary root meristem formation"
PO:0007525,"3 establishment of tissue systems stage"
PO:0007526,"F2 root hair elongation"
PO:0007527,"2 root meristem formation stage"
PO:0007528,"A2.2 root initials differentiation of lateral roots"
PO:0007529,"E emerged root elongation"
PO:0007530,"A2.3 founder cell derivatives of lateral root"
PO:0007531,"F1 root hair initiation"
PO:0007532,"obsolete plant growth and development terms"
PO:0007533,"C3.3 maturation of protoxylem elements in root."
PO:0007534,"A2.4 root initials differentiation of crown roots"
PO:0007535,"A1 root initials formation stage"
PO:0007536,"root primordium visible"
PO:0007537,"C3.2 maturation of phloem elements in root."
PO:0007539,"B2 lateral root meristem formation"
PO:0007600,"floral organ differentiation stage"
PO:0007601,"floral organ meristem development stage"
PO:0007602,"floral organ primordium development stage"
PO:0007603,"calyx development stage"
PO:0007604,"corolla development stage"
PO:0007605,"androecium development stage"
PO:0007606,"gynoecium development stage"
PO:0007607,"sepal primordium visible stage"
PO:0007608,"petal primordium visible stage"
PO:0007609,"sepals 50% of final size"
PO:0007610,"sepals 100% of final size"
PO:0007611,"petal differentiation and expansion stage"
PO:0007612,"fully expanded petal stage"
PO:0007613,"stamen primordium visible stage"
PO:0007615,"flower development stage"
PO:0007616,"flowering stage"
PO:0007618,"carpel primordium visible stage"
PO:0007619,"ovule development stage"
PO:0007620,"ovule primordium visible stage"
PO:0007621,"megagametophyte development stage"
PO:0007622,"integument initiation stage"
PO:0007623,"A megaspore mother cell enlarges stage"
PO:0007624,"B meiosis of megaspore mother cell stage"
PO:0007625,"C tetrad of megaspores stage"
PO:0007626,"D megaspore degeneration stage"
PO:0007627,"E two nucleate megagametophyte stage"
PO:0007628,"F four nucleate megagametophyte stage"
PO:0007629,"G eight nucleate megagametophyte stage"
PO:0007631,"plant embryo development stage"
PO:0007632,"seed maturation stage"
PO:0007633,"endosperm development stage"
PO:0008001,"fruit distal end"
PO:0008002,"fruit proximal end"
PO:0008003,"fruit vascular system"
PO:0008005,"fruit nucellus"
PO:0008006,"nucellar epidermis"
PO:0008007,"nucellar projection"
PO:0008008,"modified aleurone"
PO:0008009,"abaxial nucellar projection"
PO:0008010,"adaxial nucellar projection"
PO:0008011,"plant embryo vascular system"
PO:0008012,"stigma vascular system"
PO:0008013,"anther vascular system"
PO:0008014,"filament vascular system"
PO:0008015,"hypocotyl vascular system"
PO:0008016,"vegetative shoot apical meristem"
PO:0008017,"leaf sheath pulvinus"
PO:0008018,"transition vascular leaf"
PO:0008019,"leaf lamina base"
PO:0008020,"central zone of the leaf lamina"
PO:0008021,"tertiary leaf vein"
PO:0008022,"quaternary leaf vein"
PO:0008023,"higher order leaf vein"
PO:0008024,"petiole proximal end"
PO:0008025,"central zone of the petiole"
PO:0008026,"petiole distal end"
PO:0008027,"petiole adaxial epidermis"
PO:0008028,"reproductive shoot apical meristem"
PO:0008029,"petiole abaxial epidermis"
PO:0008030,"trichome cell"
PO:0008031,"trichome branch"
PO:0008032,"stomatal pore"
PO:0008034,"leaf whorl"
PO:0008035,"plerome"
PO:0008036,"periblem"
PO:0008037,"seedling"
PO:0008038,"adventitious root primordium"
PO:0008039,"stem base"
PO:0008040,"lodicule primordium"
PO:0008041,"stem internode elongation zone"
PO:0008042,"stem internode differentiation zone"
PO:0008043,"floral epidermis"
PO:0008044,"floral stomatal complex"
PO:0008045,"floral guard cell"
PO:0008046,"floral stomatal pore"
PO:0008047,"scutellum vascular system"
PO:0008048,"scutellar epithelium"
PO:0009000,"pulvinus"
PO:0009001,"fruit"
PO:0009002,"plant cell"
PO:0009003,"sporophyte"
PO:0009004,"gametophyte"
PO:0009005,"root"
PO:0009006,"shoot system"
PO:0009007,"portion of plant tissue"
PO:0009008,"plant organ"
PO:0009009,"plant embryo"
PO:0009010,"seed"
PO:0009011,"plant structure"
PO:0009012,"plant structure development stage"
PO:0009013,"portion of meristem tissue"
PO:0009014,"dermal tissue"
PO:0009015,"portion of vascular tissue"
PO:0009016,"ground tissue"
PO:0009017,"inflorescence branch pulvinus"
PO:0009018,"basal endosperm transfer cell"
PO:0009019,"obsolete basal endosperm transfer layer"
PO:0009020,"meristem L1 layer"
PO:0009021,"meristem L2 layer"
PO:0009022,"meristem L3 layer"
PO:0009023,"leaf axil"
PO:0009025,"vascular leaf"
PO:0009026,"sporophyll"
PO:0009027,"megasporophyll"
PO:0009028,"microsporophyll"
PO:0009029,"stamen"
PO:0009030,"carpel"
PO:0009031,"sepal"
PO:0009032,"petal"
PO:0009033,"tepal"
PO:0009034,"flower bract"
PO:0009035,"nectary"
PO:0009036,"lodicule"
PO:0009037,"lemma"
PO:0009038,"palea"
PO:0009039,"glume"
PO:0009040,"sterile lemma"
PO:0009041,"fertile lemma"
PO:0009042,"prophyll"
PO:0009043,"bracteole"
PO:0009044,"perigynium"
PO:0009045,"involucral bract"
PO:0009046,"flower"
PO:0009047,"stem"
PO:0009049,"inflorescence"
PO:0009051,"spikelet"
PO:0009052,"inflorescence flower pedicel"
PO:0009053,"peduncle"
PO:0009054,"inflorescence bract"
PO:0009055,"bract"
PO:0009056,"flower nectary"
PO:0009057,"extrafloral nectary"
PO:0009058,"perianth"
PO:0009059,"corolla"
PO:0009060,"calyx"
PO:0009061,"androecium"
PO:0009062,"gynoecium"
PO:0009063,"epicalyx"
PO:0009064,"receptacle"
PO:0009065,"hypanthium"
PO:0009066,"anther"
PO:0009067,"filament"
PO:0009068,"connective"
PO:0009069,"anther theca"
PO:0009070,"obsolete pollen sac"
PO:0009071,"anther wall tapetum"
PO:0009072,"plant ovary"
PO:0009073,"stigma"
PO:0009074,"style"
PO:0009075,"plant ontology"
PO:0009077,"staminode"
PO:0009078,"pistillode"
PO:0009080,"spikelet rachilla"
PO:0009081,"higher order inflorescence axis"
PO:0009082,"spikelet floret"
PO:0009083,"reproductive structures"
PO:0009084,"pericarp"
PO:0009085,"exocarp"
PO:0009086,"endocarp"
PO:0009087,"mesocarp"
PO:0009088,"seed coat"
PO:0009089,"endosperm"
PO:0009090,"aril"
PO:0009091,"mature dispersal unit"
PO:0009100,"involucre"
PO:0009101,"long lateral tassel branch"
PO:0009102,"short tassel branch"
PO:0009103,"short tassel branch meristem"
PO:0009104,"long lateral tassel branch meristem"
PO:0009105,"inflorescence axillary meristem"
PO:0009106,"tassel meristem"
PO:0009107,"tassel inflorescence axillary meristem"
PO:0009108,"inflorescence apical meristem"
PO:0009109,"ear meristem"
PO:0009110,"ear inflorescence axillary meristem"
PO:0009111,"petiole pulvinus"
PO:0019018,"plant embryo axis"
PO:0019022,"arilloid"
PO:0019023,"strophiole"
PO:0019024,"seed operculum"
PO:0019026,"tracheid bar"
PO:0020001,"plant ovary placenta"
PO:0020002,"anther wall endothecium"
PO:0020003,"plant ovule"
PO:0020004,"anther wall exothecium"
PO:0020005,"placentoid"
PO:0020006,"funicle"
PO:0020008,"exine"
PO:0020009,"ectexine"
PO:0020010,"endexine"
PO:0020011,"nexine"
PO:0020012,"sexine"
PO:0020013,"tectum"
PO:0020014,"pollen wall columella"
PO:0020015,"sculpture elements"
PO:0020016,"foot layer"
PO:0020017,"intine"
PO:0020018,"germination pore"
PO:0020019,"megaspore"
PO:0020020,"nucellus"
PO:0020021,"integument"
PO:0020022,"inner integument"
PO:0020023,"outer integument"
PO:0020024,"endothelium"
PO:0020025,"plant ovule micropyle"
PO:0020026,"chalaza"
PO:0020027,"raphe"
PO:0020028,"antiraphe"
PO:0020029,"obturator"
PO:0020030,"cotyledon"
PO:0020031,"radicle"
PO:0020032,"plumule"
PO:0020033,"coleoptile"
PO:0020034,"coleorhiza"
PO:0020035,"epicotyl"
PO:0020036,"epiblast"
PO:0020037,"mesocotyl"
PO:0020038,"petiole"
PO:0020039,"leaf lamina"
PO:0020040,"leaf base"
PO:0020041,"stipule"
PO:0020042,"simple leaf"
PO:0020043,"compound leaf"
PO:0020044,"hyperphyll"
PO:0020045,"pinnate leaf"
PO:0020046,"palmate leaf"
PO:0020047,"microsporocyte"
PO:0020048,"microspore"
PO:0020049,"leaflet"
PO:0020050,"petiolule"
PO:0020051,"stipel"
PO:0020052,"megaphyll"
PO:0020053,"microphyll"
PO:0020054,"bud scale leaf"
PO:0020055,"leaf rachis"
PO:0020056,"tegmen"
PO:0020057,"testa"
PO:0020058,"perisperm"
PO:0020059,"pollen wall"
